epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.514,1.17659,1.79805,1.54443,0.22275,0.45691,0.28009,0.14436,1.67853,2.65357,2.36443,0.000474972,0.000474972,0.000474972
2,237.163,1.27299,1.63921,1.59837,0.38986,0.48815,0.38026,0.22464,1.40065,1.9145,1.98678,0.000941888,0.000941888,0.000941888
3,343.272,1.2077,1.53542,1.54246,0.56834,0.70665,0.58961,0.38713,1.11848,1.35617,1.74322,0.00139937,0.00139937,0.00139937
4,449.077,1.17443,1.43771,1.51165,0.50419,0.73407,0.55011,0.35253,1.17314,1.33606,1.76393,0.00138656,0.00138656,0.00138656
5,554.486,1.09595,1.33182,1.4401,0.59426,0.83589,0.69747,0.50561,0.97513,0.99846,1.61794,0.00137241,0.00137241,0.00137241
6,660.092,1.05097,1.2712,1.41724,0.63695,0.82151,0.7176,0.53378,0.89935,0.94756,1.49112,0.00135826,0.00135826,0.00135826
7,764.954,1.02847,1.22689,1.392,0.64549,0.84795,0.75097,0.56491,0.84876,0.90673,1.41424,0.00134412,0.00134412,0.00134412
8,869.933,0.99752,1.1865,1.37362,0.59865,0.81989,0.75928,0.56208,0.9155,0.92298,1.52359,0.00132997,0.00132997,0.00132997
9,975.003,0.97737,1.14015,1.36031,0.70733,0.82886,0.81149,0.60708,0.85007,0.84283,1.42054,0.00131582,0.00131582,0.00131582
10,1080.62,0.94747,1.10395,1.33594,0.69482,0.85416,0.81202,0.60111,0.89925,0.88308,1.46239,0.00130168,0.00130168,0.00130168
11,1185.1,0.92053,1.06677,1.31979,0.70943,0.84215,0.84222,0.65754,0.7682,0.77168,1.33689,0.00128753,0.00128753,0.00128753
12,1289.18,0.92025,1.03587,1.31269,0.76954,0.82288,0.86365,0.68503,0.77502,0.75467,1.3352,0.00127338,0.00127338,0.00127338
13,1393.29,0.90479,1.01063,1.30282,0.71102,0.77355,0.79466,0.61849,0.80758,0.85109,1.37974,0.00125923,0.00125923,0.00125923
14,1497.82,0.89525,1.00533,1.29039,0.78685,0.80965,0.85064,0.66964,0.77483,0.72166,1.34595,0.00124509,0.00124509,0.00124509
15,1602.22,0.89354,1.00015,1.29044,0.78577,0.84013,0.86831,0.6761,0.7758,0.72956,1.34064,0.00123094,0.00123094,0.00123094
16,1706.14,0.88214,0.97313,1.27974,0.78654,0.84447,0.87937,0.6935,0.78788,0.69208,1.36223,0.00121679,0.00121679,0.00121679
17,1810.83,0.87025,0.9474,1.27366,0.79503,0.82643,0.89502,0.72185,0.72788,0.66722,1.29975,0.00120265,0.00120265,0.00120265
18,1915.22,0.86601,0.94867,1.27562,0.70307,0.88557,0.88256,0.71018,0.74695,0.75679,1.30925,0.0011885,0.0011885,0.0011885
19,2019.69,0.84492,0.93534,1.25109,0.80047,0.82455,0.87703,0.69848,0.77868,0.70066,1.3386,0.00117435,0.00117435,0.00117435
20,2123.78,0.84839,0.93284,1.25886,0.81172,0.86005,0.8898,0.72634,0.7103,0.64801,1.2585,0.00116021,0.00116021,0.00116021
21,2228.41,0.8386,0.90337,1.25089,0.81964,0.85616,0.90249,0.73668,0.70225,0.63193,1.25484,0.00114606,0.00114606,0.00114606
22,2332.91,0.83609,0.90675,1.2511,0.79675,0.82146,0.88309,0.72767,0.66492,0.65989,1.22291,0.00113191,0.00113191,0.00113191
